der Bauernhof;granja
der Baum;árbol
der Baumstumpf;tronco
der Berg;montaña
der Berg;monte
das Blatt;hoja
der Blick;vista
der Blick;mirada
der Blitz;relámpago
der Blitz;rayo
die Blume;flor
der Boden;suelo
die Brücke;puente
die Bucht;bahía
der Busch;arbusto
der Donner;trueno
der Dschungel;jungla
die Dunkelheit;oscuridad
das Eis;hielo
das Eis;helada
der Erdboden;tierra
die Erde;tierra
die Farm;granja
das Feld;campo
der Felsen;roca
der Fluss;río
der Frost;helada
das Gebirge;sierra
das Gebirge;montaña
das Gewitter;tormenta
das Gras;hierba
die Grotte;caverna
der Hagel;granizo
die Halbinsel;península
das Heu;heno
der Himmel;cielo
die Höhle;cueva
der Hügel;cerro
der Hügel;colina
die Insel;isla
das Kap;cabo
das Klima;clima
die Küste;costa
das Land;campo
das Land;país
das Laub;follaje
das Licht;luz
die Luft;aire
das Meer;mar
der Mond;luna
die Natur;naturaleza
der Nebel;niebla
der Norden;norte
der Osten;este
die Pflanze;planta
der Planet;planeta
die Quelle;fuente
der Regen;lluvia
der Regenbogen;arco iris
das Salzwasser;agua salada
der Sand;arena
der Schatten;sombra
der Schnee;nieve
der See;lago
die See;mar
die Sonne;sol
die Stadt;ciudad
der Staub;polvo
der Stern;estrella
der Strand;playa
die Straße;calle
das Tal;valle
der Tau;rocío
das Trinkwasser;agua dulce
der Wald;bosque
das Wasser;agua
der Wasserfall;cascada
die Welle;ola
die Welt;mundo
der Westen;oeste
das Wetter;tiempo
der Wind;viento
die Wolke;nube
die Wurzel;raíz
die Wüste;desierto
der Zweig;rama
