die Ananas;piña
der Apfel;manzana
die Aubergine;berenjena
die Avocado;aguacate
die Banane;plátano
die Banane;banana
die Birne;pera
der Blumenkohl;coliflor
die Bohne;judía
der Brokkoli;brécol
der Brokkoli;bróculi
die Erdbeere;fresa
die Feige;higo
die Grapefruit;toronja
die Gurke;pepino
die Himbeere;frambuesa
die Karotte;zanahoria
die Kartoffel;patata
die Kastanie;castaña
die Kirsche;cereza
der Knoblauch;ajo
der Kohl;col
das Kraut;col
der Kürbis;calabaza
die Limone;limón
die Linse;lenteja
der Mais;maíz
die Mandel;almendra
die Mango;mango
die Melone;melón
die Mispel;níspola
die Nuss;nuez
die Orange;naranja
die Petersilie;perejil
der Pfeffer;pimienta
der Pfirsich;melocotón
die Pflaume;ciruela
der Pilz;seta
der Pilz;hongo
der Salat;lechuga
die Sellerie;apio
der Spargel;espárrago
der Spinat;espinaca
die Tomate;tomate
die Traube;uva
die Wassermelone;sandía
die Weintraube;uva
die Zitrone;limón
die Zwetschge;ciruela
die Zwiebel;cebolla
