acht;ocho
achthundert;ochocientas
achthundert;ochocientos
achtundzwanzig;veintiocho
achtzehn;dieciocho
achtzig;ochenta
drei;tres
dreihundert;trescientas
dreihundert;trescientos
dreißig;treinta
dreitausend;tres mil
dreiunddreißig;treinta y tres
dreiundzwanzig;veintitrés
dreizehn;trece
eins;una
eins;uno
einunddreißig;treinta y uno
einunddreißig;treinta y una
einundzwanzig;veintiuna
einundzwanzig;veintiuno
elf;once
fünf;cinco
fünfhundert;quinientas
fünfhundert;quinientos
fünfundzwanzig;veinticinco
fünfzehn;quince
fünfzig;cincuenta
hundert;cien
hundert;ciento
hunderttausend;cien mil
Milliarde;mil millones
die Million;millón
neun;nueve
neunhundert;novecientas
neunhundert;novecientos
neunundzwanzig;veintinueve
neunzehn;diecinueve
neunzig;noventa
null;cero
sechs;seis
sechshundert;seiscientas
sechshundert;seiscientos
sechsundzwanzig;veintiséis
sechzehn;dieciséis
sechzig;sesenta
sieben;siete
siebenhundert;setecientas
siebenhundert;setecientos
siebenundzwanzig;veintisiete
siebzehn;diecisiete
siebzig;setenta
tausend;mil
vier;cuatro
vierhundert;cuatrocientas
vierhundert;cuatrocientos
vierundzwanzig;veinticuatro
vierzehn;catorce
vierzig;cuarenta
zehn;diez
zwanzig;veinte
zwei;dos
zwei Millionen;dos millones
zweihundert;doscientas
zweihundert;doscientos
zweihunderttausend;doscientos mil
zweitausend;dos mil
zweiunddreißig;treinta y dos
zweiundvierzig;cuarenta y dos
zweiundzwanzig;veintidós
zwölf;doce
