die Ampel;semáforo
die Apotheke;farmacia
die Bäckerei;panadería
der Bahnhof;estación
der Bahnhof;estación de trenes
die Bank;banco
die Bar;bar
der Bauernhof;granja
die Botschaft;embajada
die Brauerei;cervecería
die Brücke;puente
die Bücherei;biblioteca
die Burg;castillo
das Café;café
das Café;cafetería
das Denkmal;monumento
der Dom;catedral
das Dorf;pueblo
die Fabrik;fábrica
die Feuerwehr;bomberos
das Feuerwehrhaus;puesto de bomberos
der Flughafen;aeropuerto
der Friedhof;cementerio
die Garage;garaje
der Garten;jardín
das Gebäude;edificio
das Geschäft;tienda
das Gymnasium;instituto
der Hafen;puerto
das Haus;casa
das Hotel;hotel
die Hütte;cabaña
die Kathedrale;catedral
das Kaufhaus;almacén
das Kino;cine
die Kirche;iglesia
das Konsulat;consulado
das Krankenhaus;hospital
die Küste;costa
der Laden;tienda
der Markt;mercado
die Metzgerei;carnicería
das Ministerium;ministerio
das Monument;monumento
das Museum;museo
der Palast;palacio
der Park;parque
das Parkhaus;parking
der Parkplatz;aparcamiento
das Parlament;parlamento
der Platz;plaza
der Platz;lugar
das Polizeirevier;comisaría
die Post;correos
das Rathaus;ayuntamiento
das Restaurant;restaurante
die Scheune;granero
das Schloss;castillo
die Schnellstraße;carretera
die Schule;escuela
das Schwimmbad;piscina
die Sehenswürdigkeit;monumento
der Springbrunnen;fuente
der Springbrunnen;fontana
das Stadion;estadio
die Stadt;ciudad
die Station;estación
das Stoppschild;señal de alto
der Strand;playa
die Straße;calle
der Supermarkt;supermercado
die Tankstelle;gasolinera
die Telefonzelle;cabina telefónica
das Theater;teatro
das Tourismusbüro;oficina de turismo
der Turm;torre
die U-Bahn-Station;estación de metro
die Universität;universidad
der Wald;bosque
der Wald;floresta
