abfahren;salir
abfahren;partir
absagen;cancelar
abschalten;apagar
abschließen;cerrar
abschließen;terminar
absenden;enviar
absenden;mandar
ändern;cambiar
anfangen;comenzar
anfangen;empezar
anfassen;tocar
ankommen;llegar
anschalten;encender
anschauen;mirar
ansehen;mirar
ansteigen;subir
antworten;responder
arbeiten;trabajar
aufbauen;construir
aufstehen;levantarse
aufwachen;despertarse
aufwecken;despertar
ausgeben;gastar
ausgehen;salir
ausleihen;alquilar
ausleihen;pedir
ausleihen;prestar
ausschalten;apagar
bauen;construir
beabsichtigen;intentar
bedienen;servir
beenden;acabar
beenden;terminar
befinden;estar
beginnen;comenzar
beginnen;empezar
bekommen;recibir
benutzen;usar
benutzen;utilizar
berühren;tocar
besitzen;tener
besitzen;poseer
bestellen;pedir
besuchen;visitar
bevorzugen;preferir
bezahlen;pagar
beziehen;recibir
bimmeln;sonar
bitten um;pedir
brauchen;necesitar
brechen;romper
bringen;llevar
bringen;traer
buchstabieren;deletrear
denken;pensar
dienen;servir
einkaufen;comprar
einschalten;encender
entscheiden;decidir
erbauen;construir
erblicken;ver
erhalten;recibir
erhöhen;subir
erhöhen;aumentar
erklären;explicar
erklären;declarar
erlauben;permitir
erreichen;alcanzar
erreichen;conseguir
errichten;construir
erwachen;despertarse
erwarten;esperar
erzählen;contar
erzählen;narrar
essen;comer
fahren;conducir
fahren;ir
fallen;caer
fallen;caerse
fertig machen;terminar
finden;encontrar
fliegen;volar
folgen;seguir
fragen;preguntar
fühlen;sentir
führen;conducir
füllen;llenar
geben;dar
gebrauchen;utilizar
gebrauchen;usar
gefallen;gustar
gehen;andar
gehen;ir
gelingen;conseguir
gewinnen;ganar
glauben;creer
haben;haber
haben;tener
hassen;odiar
heißen;llamarse
helfen;ayudar
hineinpassen;caber
hoffen;esperar
hören;escuchar
hören;oír
husten;toser
ins Bett gehen;acostarse
kämmen;peinar
kaufen;comprar
kennen;conocer
kennen;saber
klingeln;sonar
klingen;sonar
kommen;venir
kommen;llegar
können;poder
können;saber
konstruieren;construir
kriegen;recibir
kürzen;cortar
lachen;reír
läuten;sonar
leben;vivir
legen;poner
lehren;enseñar
leihen;alquilar
leihen;pedir
leihen;prestar
leiten;conducir
lenken;conducir
lernen;aprender
lernen;estudiar
lesen;leer
lieben;amar
lieben;querer
löschen;borrar
lügen;mentir
machen;hacer
möchten;desear
möchten;querer
mögen;gustar
mögen;querer
müssen;tener que
nehmen;coger
nehmen;tomar
nennen;llamar
nennen;nombrar
öffnen;abrir
organisieren;organizar
passen;caber
passieren;pasar
putzen;limpiar
rauchen;fumar
regnen;llover
reinigen;limpiar
reisen;viajar
rennen;correr
reparieren;reparar
riechen;oler
rufen;llamar
sagen;decir
säubern;limpiar
schaffen;conseguir
schauen;mirar
schicken;enviar
schicken;mandar
schlafen;dormir
schließen;cerrar
schmecken;gustar
schneiden;cortar
schreiben;escribir
schulden;deber
schwimmen;nadar
sehen;mirar
sehen;ver
sein;estar
sein;ser
senden;enviar
senden;mandar
servieren;servir
setzen;poner
setzen;sentar
sich amüsieren;divertirse
sich anziehen;vestirse
sich beschweren;quejarse
sich erheben;levantarse
sich fühlen;sentirse
sich hinlegen;acostarse
sich hinsetzen;sentarse
sich sorgen;preocuparse
sich vergnügen;divertirse
sich wohlfühlen;sentirse
singen;cantar
sitzen;sentar
sitzen;sentarse
spielen;jugar
sprechen;hablar
starten;comenzar
starten;empezar
steigen;subir
stellen;poner
sterben;morir
steuern;conducir
steuern;manejar
studieren;estudiar
suchen;buscar
tanzen;bailar
tauschen;cambiar
trinken;beber
trinken;tomar
tun;hacer
übersetzen;traducir
umdrehen;volver
umkehren;volver
unterschreiben;firmar
verdienen;ganar
vergessen;olvidar
verkaufen;vender
verlangen;pedir
verlassen;marcharse
verletzen;herir
verlieren;perder
verpflichtet sein;deber
versenden;enviar
verstehen;comprender
verstehen;entender
versuchen;intentar
vollenden;terminar
wandern;andar
wandern;caminar
warten;esperar
wechseln;cambiar
weggehen;irse
weggehen;salir
wenden;volver
wiederholen;repetir
wissen;conocer
wissen;saber
wohnen;vivir
wollen;desear
wollen;querer
wünschen;desear
zählen;contar
zählen;pagar
zeichnen;dibujar
zeichnen;pintar
zerbrechen;romper
zerbrechen;romperse
zerstören;romper
zuhören;escuchar
zulassen;permitir
zumachen;cerrar
